epoch,loss
1,1.9726073446352619
2,0.8495057865607837
3,0.756231421971124
4,0.7252132715272509
5,0.7105391085640458
6,0.7020744502051802
7,0.6970255488206533
8,0.6935777231681446
9,0.6912534667440683
10,0.6895869766385102
11,0.6883962344532171
12,0.687525009025227
13,0.6868718549239734
14,0.6863595891589961
15,0.6859944618437901
16,0.6857208182003872
17,0.6855027407654061
18,0.685334234395303
19,0.6852003166498232
20,0.6851004252749041
21,0.6850275444590356
22,0.6849655579929509
23,0.6849204729411228
24,0.6848824435029148
25,0.6848581426399798
26,0.6848380518353675
27,0.6848194497675935
28,0.6848029495270784
29,0.684788954159445
30,0.6847819950954973
